location,category,itemname,open_qty,qty_in_stock,cost_price,selling_price,totalcost
"MODERN DREAM A","ACCESSORIES","30W COND COB LED DOWNLIGHT V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W DOWNLIGHT LED LIGHT VETO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W GL MODI",0,0,180.00,180.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED BULB HI FI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED BULB NORMAL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED BULB V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED BULB(NORMAL)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED CHOKE ORI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED COB DOWNLITE PHILIPS",0,1,350.00,350.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED DOWNLIGHT V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED DOWNLIGHT VETO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED LIGHT HI FI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED LIGHT KSR",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED OPTMIST COND/SURFACE",0,5,120.00,120.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED SURFACE NORMAL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W LED SURFACE S-CLASS",0,0,70.00,70.00,0.00
"MODERN DREAM A","ACCESSORIES","30W SURF COB LED LIGHT V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W SURF DOWN LED LIGHT V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W SURF LED LIGHT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W SURFACE LED LIGHT MODI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32A CHANGEOVER WPI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32A CHANGEOVER WPI(GEAR)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32A SINGLE POLE BREAKER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32A SINGLE POLE BREAKER SECTOR",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32AMP C/O 602 S/S",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32AMPS C/O 603 B/S",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32W CIRCULAR BULB",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32W LED BULB NSROMA",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","32W T5 LED LIGHT COMPLETE V-MAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","36W LED LIGHT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","36W LED LIGHT PANEL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","36W RECESS LED LIGHT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","38/28W 2D BULB OSRAM  SEVEN",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","38W 2D BULB",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","38W(28W) 2D BULB SEVEN'S",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3EYE UP&DOWN LED LIGHT RGB",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3EYE WALL LIGHT UP/DOWN WARM",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3FT LED LIGHT FLAT V-MAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3FT LED TUBE COMPLETE V-MAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G  2W AV TECH",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2W WHT RANGE SKT WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY ABB",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY AJLITE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY AKT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY AV",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY HAGER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY JD SMP",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY KLASS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY LANGQI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY MEC ENGLAND",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY MEGASMART",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY MIGEND",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY SCHNEIDER",0,16,45.00,45.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY SCHNEIDER(OLD TYPE)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY SILVER WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3G 2WAY SMART LEGEND",0,0,0.00,0.00,0.00
